date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,obos_main,Dealer_Hedging,Dealer_self,Foreign_Investor,Investment_Trust
2023-12-08,1476,475101,274425257,585.0,586.0,573.0,577.0,-6.0,648,551877.0,288.0,-27000.0,135000.0,-102000.0
2023-12-11,1476,511101,294591261,579.0,581.0,572.0,580.0,3.0,523,684492.0,211.0,-20000.0,347737.0,-88000.0
2023-12-12,1476,630980,360177760,581.0,581.0,566.0,570.0,-10.0,848,781349.0,-234.0,-1005.0,87600.0,-50000.0
2023-12-13,1476,713371,404320902,566.0,572.0,561.0,570.0,0.0,846,730807.0,20.0,8000.0,232941.0,-127000.0
2023-12-14,1476,846877,483076289,570.0,575.0,565.0,570.0,0.0,793,991746.0,1600.0,43000.0,392660.0,-29247.0
2023-12-15,1476,946744,539355748,577.0,577.0,567.0,568.0,-2.0,739,1199013.0,2590.0,21000.0,215884.0,88946.0
2023-12-18,1476,592328,338501155,569.0,577.0,565.0,574.0,6.0,757,614127.0,67.0,-41001.0,184995.0,116932.0
2023-12-19,1476,376433,215629435,570.0,578.0,568.0,572.0,-2.0,473,403900.0,-922.0,-43000.0,-18000.0,139000.0
2023-12-20,1476,455925,259805086,576.0,576.0,566.0,567.0,-5.0,553,455141.0,758.0,-29000.0,24466.0,-29000.0
2023-12-21,1476,769146,428177245,560.0,566.0,553.0,555.0,-12.0,1131,737369.0,-2270.0,5950.0,-33471.0,-3518.0
2023-12-22,1476,625700,344325269,549.0,555.0,543.0,551.0,-4.0,760,559205.0,1457.0,2000.0,85677.0,-52285.0
2023-12-25,1476,165057,90880580,551.0,555.0,548.0,549.0,-2.0,344,239414.0,-37.0,0.0,64000.0,-31000.0
2023-12-26,1476,125274,69506718,558.0,558.0,550.0,557.0,8.0,304,140292.0,-555.0,2000.0,26685.0,-1000.0
2023-12-27,1476,385566,214711419,557.0,560.0,553.0,557.0,0.0,496,460694.0,-6011.0,1000.0,27634.0,-97855.0
2023-12-28,1476,278318,155070386,552.0,561.0,552.0,559.0,2.0,386,338392.0,-682.0,-10000.0,-26961.0,-11494.0
2023-12-29,1476,336911,189316938,563.0,565.0,559.0,562.0,3.0,361,347955.0,-5094.0,41000.0,-40069.0,0.0
2024-01-02,1476,425688,235964418,561.0,563.0,552.0,552.0,-10.0,592,525232.0,-2991.0,-1606.0,88066.0,-127381.0
2024-01-03,1476,422623,231437997,549.0,560.0,543.0,543.0,-9.0,736,439621.0,-1798.0,-10000.0,-46281.0,-2176.0
2024-01-04,1476,389178,214655214,559.0,559.0,546.0,550.0,7.0,509,295550.0,-370.0,-1000.0,49893.0,0.0
2024-01-05,1476,372713,205977844,556.0,556.0,548.0,550.0,0.0,475,493539.0,583.0,6000.0,-70012.0,115000.0
2024-01-08,1476,325594,178110123,552.0,557.0,543.0,546.0,-4.0,619,391998.0,-519.0,-26000.0,-1820.0,9000.0
2024-01-09,1476,596936,323938665,552.0,552.0,539.0,541.0,-5.0,803,935916.0,126.0,14000.0,287386.0,-350827.0
2024-01-10,1476,299859,164587256,540.0,552.0,540.0,552.0,11.0,465,351539.0,155.0,-10000.0,12671.0,0.0
2024-01-11,1476,362570,199350472,550.0,553.0,547.0,548.0,-4.0,431,469234.0,-133.0,-29000.0,-94000.0,0.0
2024-01-12,1476,404106,220920390,548.0,550.0,542.0,549.0,1.0,549,595113.0,-2670.0,-20000.0,-9000.0,-1799.0
2024-01-15,1476,266806,147270064,550.0,556.0,547.0,550.0,1.0,433,297254.0,-4.0,-18000.0,11785.0,-20798.0
2024-01-16,1476,454447,246187007,547.0,549.0,539.0,540.0,-10.0,912,407326.0,-929.0,6751.0,-127726.0,0.0
2024-01-17,1476,830237,446930777,540.0,544.0,536.0,537.0,-3.0,946,949656.0,-1796.0,22000.0,-112809.0,-25752.0
2024-01-18,1476,512857,271188269,535.0,537.0,524.0,524.0,-13.0,941,542871.0,2443.0,16740.0,45565.0,-44000.0
2024-01-19,1476,626024,328767419,521.0,531.0,521.0,526.0,2.0,665,711188.0,347.0,-1160.0,102372.0,-45000.0
2024-01-22,1476,366148,195062139,526.0,536.0,524.0,534.0,8.0,537,444687.0,475.0,-9000.0,-134829.0,17853.0
2024-01-23,1476,397620,213768304,540.0,540.0,534.0,538.0,4.0,467,547261.0,-238.0,4037.0,-168677.0,-25845.0
2024-01-24,1476,705832,381366378,546.0,546.0,536.0,541.0,3.0,621,957656.0,2011.0,-15014.0,41206.0,0.0
2024-01-25,1476,419083,230118575,541.0,552.0,541.0,552.0,11.0,543,509468.0,2325.0,0.0,-25282.0,1330.0
2024-01-26,1476,238750,131267727,551.0,553.0,546.0,550.0,-2.0,498,307776.0,-81.0,-863.0,39000.0,0.0
2024-01-29,1476,333620,182946053,547.0,550.0,545.0,548.0,-2.0,436,436340.0,-479.0,-1000.0,-4589.0,0.0
2024-01-30,1476,339810,186329445,555.0,555.0,545.0,547.0,-1.0,553,505298.0,1009.0,10000.0,-38601.0,-27248.0
2024-01-31,1476,315667,172733502,542.0,551.0,541.0,547.0,0.0,411,447709.0,-81.0,-3000.0,-52784.0,1139.0
2024-02-01,1476,543336,300596120,555.0,559.0,549.0,555.0,8.0,567,553233.0,2040.0,2000.0,93200.0,1486.0
2024-02-02,1476,501967,280748589,555.0,564.0,551.0,560.0,5.0,591,520774.0,-602.0,-8000.0,27588.0,2203.0
2024-02-05,1476,237208,131464637,552.0,556.0,551.0,556.0,-4.0,398,268949.0,142.0,-2000.0,-79565.0,-2000.0
2024-02-15,1476,1113568,603166869,557.0,558.0,534.0,537.0,-19.0,2138,1216416.0,2076.0,10962.0,-185011.0,-129332.0
2024-02-16,1476,774231,416359719,541.0,542.0,533.0,539.0,2.0,864,1100893.0,-633.0,5998.0,68856.0,-342542.0
2024-02-19,1476,2318216,1206683658,545.0,545.0,513.0,521.0,-18.0,3448,1577731.0,1222.0,38559.0,-215450.0,-258678.0
2024-02-20,1476,1344504,726164485,520.0,550.0,520.0,544.0,23.0,1518,1222621.0,-141.0,-9962.0,219335.0,-149000.0
2024-02-21,1476,693760,380314481,543.0,552.0,540.0,548.0,4.0,757,583971.0,516.0,325.0,-200332.0,495.0
2024-02-22,1476,350064,191094305,555.0,555.0,544.0,545.0,-3.0,803,415099.0,10.0,21000.0,43158.0,-7552.0
2024-02-23,1476,787575,422026381,544.0,545.0,530.0,534.0,-11.0,1104,804981.0,1286.0,7998.0,-165628.0,-94000.0
2024-02-26,1476,728814,385376393,532.0,537.0,526.0,530.0,-4.0,1199,868838.0,1409.0,9000.0,99469.0,-142505.0
2024-02-27,1476,364899,195299504,534.0,540.0,531.0,536.0,6.0,517,372810.0,313.0,-4000.0,49439.0,-96257.0
2024-02-29,1476,689638,370902384,532.0,541.0,530.0,540.0,4.0,593,598324.0,1469.0,7000.0,139408.0,-120762.0
2024-03-01,1476,1254892,704262450,547.0,568.0,545.0,564.0,24.0,1937,1116563.0,57.0,85000.0,288391.0,-78020.0
2024-03-04,1476,418444,233018466,560.0,560.0,552.0,552.0,-12.0,910,539944.0,-592.0,7000.0,-147615.0,-11444.0
2024-03-05,1476,311080,171058648,556.0,556.0,546.0,546.0,-6.0,533,331537.0,-1565.0,11000.0,-148063.0,-5725.0
2024-03-06,1476,186224,102203407,548.0,552.0,546.0,546.0,0.0,342,164365.0,1836.0,-4000.0,-16198.0,-3967.0
2024-03-07,1476,395715,214612801,542.0,547.0,533.0,542.0,-4.0,559,499057.0,530.0,-10000.0,-227213.0,-1483.0
2024-03-08,1476,1165726,661836200,565.0,580.0,560.0,568.0,26.0,1532,953740.0,-1276.0,34177.0,152925.0,-13649.0
2024-03-11,1476,419739,236948508,560.0,570.0,558.0,565.0,-3.0,777,491913.0,1632.0,19000.0,-69517.0,0.0
2024-03-12,1476,569768,322498363,569.0,570.0,561.0,565.0,0.0,754,726053.0,230.0,24001.0,-338583.0,-6242.0
2024-03-13,1476,352058,197936997,560.0,568.0,559.0,560.0,-5.0,460,427632.0,1008.0,15000.0,-84221.0,-2242.0
2024-03-14,1476,1027475,588538153,558.0,579.0,558.0,579.0,19.0,1302,885153.0,909.0,117000.0,65138.0,36267.0
2024-03-15,1476,746470,429019304,579.0,580.0,570.0,574.0,-5.0,1220,692219.0,141.0,1000.0,-158065.0,152623.0
2024-03-18,1476,451536,257597468,575.0,575.0,567.0,569.0,-5.0,695,584616.0,-211.0,0.0,-22957.0,-2597.0
2024-03-19,1476,955558,532298707,564.0,565.0,552.0,552.0,-17.0,1278,1140275.0,-237.0,-46000.0,-383318.0,-90943.0
2024-03-20,1476,1178844,653917745,550.0,562.0,550.0,552.0,0.0,1188,1673190.0,-3718.0,-7000.0,-301210.0,-829.0
2024-03-21,1476,492754,270959352,554.0,556.0,546.0,549.0,-3.0,726,615536.0,430.0,8000.0,-176607.0,-4350.0
2024-03-22,1476,1481566,797341286,540.0,545.0,531.0,541.0,-8.0,1890,1362078.0,-2794.0,-6018.0,-360564.0,-30407.0
2024-03-25,1476,841463,457924679,535.0,549.0,535.0,541.0,0.0,713,741443.0,1011.0,-8000.0,-224000.0,33738.0
